cartodb_id,the_geom,field_1,id,id2,geography,totalpop,totalpop_error,totaldispop,totaldispop2,perdispop,ambdispop,ambdispop_error,perambdispop,perambdispop2,awater,aland,lsad,name,tractce,countyfp,statefp
1416,0106000020E6100000010000000103000000010000000B0000002E302B14E97952C05A0A48FB1F6C444040F0F8F6AE7952C0B09C84D2176C4440A5CAF78C447952C0F351465C006C4440B9BA63B14D7952C01F7BBDFBE36B44405A548B88627952C08616D9CEF76B4440953E74417D7952C05C33F9669B6B44408FF5D4EAAB7952C052AC1A84B96B444050DCF126BF7952C03A6D8D08C66B444063170CAEB97952C0368600E0D86B44402DFCE07CEA7952C0C9A145B6F36B44402E302B14E97952C05A0A48FB1F6C4440,99,1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",1189,189,123,49,10.3,53,28,4.9,2.8,0,196842,CT,165,16500,5,36
15,0106000020E6100000010000000103000000010000000A0000009B4CDC2A887552C0BF95ECD8086A4440DDAD2CD1597552C0D3AC33BE2F6A4440C7CD70033E7552C0FECA4A93526A44400A7A6F0C017552C0D1156C239E6A444070E5EC9DD17452C0EA6CC83F336A4440382861A6ED7452C0DA63E943176A4440487F2F85077552C0E70B21E7FD694440986038D7307552C00F5B7A34D5694440F84A2025767552C086670932026A44409B4CDC2A887552C0BF95ECD8086A4440,100,1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",2252,301,336,89,14.9,166,63,7.6,2.7,0,285611,CT,166,16600,5,36
4433,0106000020E61000000100000001030000000100000010000000D5011077F57952C0F2DE1802806B4440482BBEA1F07952C03B618907946B44405675560BEC7952C0BED02346CF6B444051B81E85EB7952C01E5ED72FD86B44402DFCE07CEA7952C0C9A145B6F36B444063170CAEB97952C0368600E0D86B444050DCF126BF7952C03A6D8D08C66B44408FF5D4EAAB7952C052AC1A84B96B4440953E74417D7952C05C33F9669B6B4440C4C551B9897952C06DC2BD326F6B444092DC6113997952C0592A6F47386B44404E57772CB67952C0868043A8526B44404735ECF7C47952C07ABB2539606B4440A830B610E47952C05787A3AB746B4440ACD689CBF17952C0E898F38C7D6B4440D5011077F57952C0F2DE1802806B4440,101,1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",2733,260,336,87,12.3,205,68,8.4,2.7,0,205837,CT,167,16700,5,36
1149,0106000020E6100000010000000103000000010000000C000000ACD689CBF17952C0E898F38C7D6B4440A830B610E47952C05787A3AB746B44404735ECF7C47952C07ABB2539606B44404E57772CB67952C0868043A8526B444092DC6113997952C0592A6F47386B4440D0B01875AD7952C0CBEF3499F16A44402C573F36C97952C0F36BEBA7FF6A4440F9CE2F4AD07952C0C3E061DA376B4440017CB779E37952C0CABA7F2C446B444001999D45EF7952C0D2307C444C6B444037F7578FFB7952C02644C021546B4440ACD689CBF17952C0E898F38C7D6B4440,102,1400000US36005016900,36005016900,"Census Tract 169, Bronx County, New York",1302,216,215,102,16.5,114,47,9.5,4.2,0,92915,CT,169,16900,5,36
1418,0106000020E610000001000000010300000001000000130000009864E42CEC7A52C044D26EF4316944409DD0EB4FE27A52C0CB3FFA264D694440FBBB3E73D67A52C0BBE47FF277694440DFED4108C87A52C0C436A968AC6944400B0055DCB87A52C0D8CEF753E369444064E08096AE7A52C0DDAE97A6086A44408CEE2076A67A52C02D73BA2C266A4440A0BB24CE8A7A52C0669B1BD3136A4440661F2BF86D7A52C07BED9925016A4440266728EE787A52C0842348A5D86944400BA661F8887A52C094ECD808C4694440C985CABF967A52C0625E471CB26944409043C4CDA97A52C014BB7D56996944408310902FA17A52C0BF3FA54A94694440C436A968AC7A52C0AF1F6283856944403A6D8D08C67A52C02982FFAD64694440968E39CFD87A52C0E39B6D6E4C694440D64CBED9E67A52C0409AB1683A6944409864E42CEC7A52C044D26EF431694440,104,1400000US36005017300,36005017300,"Census Tract 173, Bronx County, New York",6288,879,1349,268,21.5,861,204,14.6,3.9,0,165274,CT,173,17300,5,36
16,0106000020E6100000010000000103000000010000000C000000B67EFACF9A7A52C04613EF004F6A444003E5B67D8F7A52C05D2A36E6756A444076BD3445807A52C0791B9B1DA96A444054698B6B7C7A52C0896F287CB66A44407415527E527A52C0851403249A6A44402A82FFAD647A52C0D688601C5C6A44403F868E1D547A52C028AF95D05D6A444032A7CB62627A52C02BD7DB662A6A4440661F2BF86D7A52C07BED9925016A4440A0BB24CE8A7A52C0669B1BD3136A44408CEE2076A67A52C02D73BA2C266A4440B67EFACF9A7A52C04613EF004F6A4440,105,1400000US36005017500,36005017500,"Census Tract 175, Bronx County, New York",6967,611,1053,216,15.1,692,191,10.6,3.1,0,151593,CT,175,17500,5,36
1419,0106000020E6100000010000000103000000010000000C0000002D211FF46C7A52C032B91803EB6A44409DC552245F7A52C00E5EBBB4E16A4440368B170B437A52C05EE28FA2CE6A4440ADD2DD75367A52C0995B21ACC66A4440D8CA4BFE277A52C02072FA7ABE6A44404DB0FF3A377A52C0830A0E2F886A44407055D977457A52C0DF490B97556A44403F868E1D547A52C028AF95D05D6A44402A82FFAD647A52C0D688601C5C6A44407415527E527A52C0851403249A6A444054698B6B7C7A52C0896F287CB66A44402D211FF46C7A52C032B91803EB6A4440,106,1400000US36005017701,36005017701,"Census Tract 177.01, Bronx County, New York",4541,738,425,189,9.4,189,125,4.7,3.3,0,106630,CT,177.01,17701,5,36
3719,0106000020E610000001000000010300000001000000110000002D211FF46C7A52C032B91803EB6A4440B0F9B836547A52C014376E313F6B4440AB394030477A52C0A2A65D4C336B444079C5538F347A52C0A5F10BAF246B4440D3AC33BE2F7A52C099ABE639226B4440025B25581C7A52C0207711A6286B44408115A75A0B7A52C0694AB20E476B4440D5011077F57952C0F2DE1802806B4440ACD689CBF17952C0E898F38C7D6B444037F7578FFB7952C02644C021546B4440C9DB114E0B7A52C00562D9CC216B4440CB94D6DF127A52C02FEF71A6096B4440D8CA4BFE277A52C02072FA7ABE6A4440ADD2DD75367A52C0995B21ACC66A4440368B170B437A52C05EE28FA2CE6A44409DC552245F7A52C00E5EBBB4E16A44402D211FF46C7A52C032B91803EB6A4440,107,1400000US36005017702,36005017702,"Census Tract 177.02, Bronx County, New York",5373,671,853,272,15.9,527,170,10.4,3.6,0,140905,CT,177.02,17702,5,36
4434,0106000020E6100000010000000103000000010000000C000000F255F2B1BB7A52C0AB174339D16A44403D373465A77A52C0AD5B04C6FA6A4440B31666A19D7A52C039CD02ED0E6B4440C9349A5C8C7A52C038E466B8016B44401294A2957B7A52C0CE44D8F0F46A44402D211FF46C7A52C032B91803EB6A444054698B6B7C7A52C0896F287CB66A444076BD3445807A52C0791B9B1DA96A44408CB454DE8E7A52C0442BF702B36A444001B4AD669D7A52C08D90813CBB6A444019DF1797AA7A52C0F2DA6CACC46A4440F255F2B1BB7A52C0AB174339D16A4440,108,1400000US36005017901,36005017901,"Census Tract 179.01, Bronx County, New York",4661,442,761,222,16.3,438,153,10.2,3.3,0,76723,CT,179.01,17901,5,36
2376,0106000020E6100000010000000103000000010000000B0000003C47E4BB947A52C0D020054F216B44403AC269C18B7A52C0086CCEC1336B4440AAB019E0827A52C0D9BDDC27476B44409C6340F67A7A52C0DC5F3DEE5B6B444009B3D0CE697A52C0242367614F6B4440B0F9B836547A52C014376E313F6B44402D211FF46C7A52C032B91803EB6A44401294A2957B7A52C0CE44D8F0F46A4440C9349A5C8C7A52C038E466B8016B4440B31666A19D7A52C039CD02ED0E6B44403C47E4BB947A52C0D020054F216B4440,109,1400000US36005017902,36005017902,"Census Tract 179.02, Bronx County, New York",3600,345,433,168,12,203,93,6.1,2.8,0,77544,CT,179.02,17902,5,36
